work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Software Engineer,Full Time,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L
2023,Management Information,CT,ML Engineer,30000,USD,30000,United States,100,United States,S
2023,Management Information,CT,ML Engineer,25500,USD,25500,United States,100,United States,S
2023,Software Engineer,Full Time,Data Scientist,175000,USD,175000,CA,100,CA,M
2023,Software Engineer,Full Time,Data Scientist,120000,USD,120000,CA,100,CA,M
2023,Software Engineer,Full Time,Applied Scientist,222200,USD,222200,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,136000,USD,136000,United States,0,United States,L
2023,Software Engineer,Full Time,Data Scientist,219000,USD,219000,CA,0,CA,M
2023,Software Engineer,Full Time,Data Scientist,141000,USD,141000,CA,0,CA,M
2023,Software Engineer,Full Time,Data Scientist,147100,USD,147100,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,90700,USD,90700,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,130000,USD,130000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,100000,USD,100000,United States,100,United States,M
2023,EN,Full Time,Applied Scientist,213660,USD,213660,United States,0,United States,L
2023,EN,Full Time,Applied Scientist,130760,USD,130760,United States,0,United States,L
2023,Software Engineer,Full Time,Data Modeler,147100,USD,147100,United States,0,United States,M
2023,Software Engineer,Full Time,Data Modeler,90700,USD,90700,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,170000,USD,170000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,150000,USD,150000,United States,0,United States,M
2023,Management Information,Full Time,Data Analyst,150000,USD,150000,United States,100,United States,M
2023,Management Information,Full Time,Data Analyst,110000,USD,110000,United States,100,United States,M
2023,Software Engineer,Full Time,Research Engineer,275000,USD,275000,DE,0,DE,M
2023,Software Engineer,Full Time,Research Engineer,174000,USD,174000,DE,0,DE,M
2023,Software Engineer,Full Time,Analytics Engineer,230000,USD,230000,Great Britain ,100,Great Britain ,M
2023,Software Engineer,Full Time,Analytics Engineer,143200,USD,143200,Great Britain ,100,Great Britain ,M
